Wisma Argo Manunggal; Jl. Jend. Gatot Subroto Kav. 22 Jakarta Selatan;PT. EDI Indonesia;Pakaian & Barang Mewah;Tekstil;corp-secretary@argopantes.com;(021) 2520029;Industri Pakaian Jadi dan Tekstil;ARGO;Argo Pantes Tbk;01.001.018.9-092.000;Pengembangan;Barang Konsumen Non-Primer;Pakaian & Barang Mewah;1991-01-07T00:00:00;(021) 2520065-(021) 2520068;argo.co.id;;;;;;
Jl. Lanbau No. 8; Kp Gudang RT 06 / RW 09; Kel. Karang Asem Barat; Kec. Citeureup; Kab. Bogor; Jawa Barat;;PT. Adimitra Jasa Korpora;Mesin;Mesin & Komponen Perindustrian;corporate.secretary@arkhajayanti.co.id;Fax : 021-87916364;Menjalankan usaha dalam bidang industri manufaktur dan fabrikasi komponen alat-alat berat, karoseri body dump truck, kontruksi baja, fabrikasi Oil & Gas equipment dan jasa pengangkutan batubara.;ARKA;PT Arkha Jayanti Persada Tbk.;01.910.633.5-431.000;Pengembangan;Perindustrian;Barang Perindustrian;2019-07-10T00:00:00;021 - 87918903;www.arkhajayanti.co.id;
Office 8 Building; Lantai 21 Unit C & D;;;;;;;;;;;;;;;;;;;;;
;Gedung Ratu Prabu 1 Lantai. 9 JL. TB. Simatupang Kav. 20 Jakarta 12560 - Indonesia. ;PT. Ficomindo Buana Registrar;Pendukung Minyak, Gas & Batu Bara;Jasa & Perlengkapan Minyak, Gas & Batu Bara;;corsec@ratuprabuenergi.com;;(021) 780-8037 ;Crude Petroleum and Natural Gas Prod.;ARTI;Ratu Prabu Energi Tbk;;01.703.684.9-054.000 ;Pengembangan;Energi;Minyak, Gas & Batu Bara;2003-04-30T00:00:00;;(021) 7883-6836 ;;www.ratuprabuenergi.com ;
Menara BTPN Lt. 46 Jl. Dr. Ide Anak Agung Gde Agung Kav. 5.5-5.6; Jakarta Selatan;PT. Ficomindo Buana Registrar;Bank;Bank;corporate.communications@jago.com;021-50927479 & 021-50927499;Perbankan;ARTO;PT Bank Jago Tbk.;01.555.591.5-441.000;Pengembangan;Keuangan;Bank;2016-01-12T00:00:00;021-50927460 & 021-50927490;www.jago.com;;;;;;
Jl. RS Fatmawati No. 32 Jakarta Selatan;PT. Bima Registra;Asuransi;Asuransi Umum;jenry.cardo@asuransibintang.com;7590 2555;Asuransi Kerugian ;ASBI;Asuransi Bintang Tbk;01.306.897.8-054.000;Pengembangan;Keuangan;Asuransi;1989-11-29T00:00:00;7590 2777;www.asuransibintang.com;;;;;;;
Wisma Hayam Wuruk Lt. 7 Jl. Hayam Wuruk No. 8 Jakarta 10120;PT. Datindo Entrycom;Asuransi;Asuransi Umum;csecretary@dayinmitra.com ;021-3453457;Asuransi Kerugian ;ASDM;Asuransi Dayin Mitra Tbk;01.316.236.7-054.000 ;Utama;Keuangan;Asuransi;1989-12-15T00:00:00;021-80868888;www.asuransidayinmitra.com;;;;;;;
 Jl. Kramat Raya N0. 43 Jakarta 10450  ;PT. Raya Saham Registra;Jasa Komersial;Jasa Pendukung Bisnis;melinda.pudjo@astragraphia.co.id;021 - 3909388 ;Computer and Services;ASGR;Astra Graphia Tbk; 01.307.261.6-054.000  ;Utama;Perindustrian;Jasa Perindustrian;1989-11-15T00:00:00;021 - 3909190 ;www.astragraphia.co.id ;;;;;;;
Menara Astra Lt 58-63; Jl. Jendral Sudirman Kav 5-6; Jakarta;10220;PT. Raya Saham Registra;Perusahaan Holding Multi-sektor;Perusahaan Holding Multi-sektor;Gita.TiffanyBoer@ai.astra.co.id;(021) 6530-4957;Perdagangan Umum;ASII;Astra International Tbk;01.302.584.6-092.000;Utama;Perindustrian;Perusahaan Holding Multi Sektor;1990-04-04T00:00:00;(021) 508 43 888;www.astra.co.id;;;;
Gedung Agro Plaza Lantai 9 Jl. HR. Rasuna Said Blok X 2 Nomor 1 Jakarta 12950 ;PT. Adimitra Jasa Korpora;Asuransi;Asuransi Umum;HeadOffice@jastan.co.id;021-5262539, 5262540;Asuransi Non Jiwa Konvensional;ASJT;Asuransi Jasa Tania Tbk;01.105.014.3-054.000;Utama;Keuangan;Asuransi;2003-12-23T00:00:00;021-5262529;www.jastan.co.id;;;;;;;
 Graha Kirana; Lantai 6 Jl. Yos Sudarso No.88; Sunter Jakarta 14350  ;PT. Adimitra Jasa Korpora;Asuransi;Asuransi Umum;0;(62-21) 65311160 ;Asuransi Kerugian;ASMI;PT Asuransi Maximus Graha Persada Tbk.;01.371.047.0-054.000;Utama;Keuangan;Asuransi;2014-01-16T00:00:00;(62-21) 65311150 ;www.kresnainsurance.com;;;;;
Wisma Argo Manunggal; Lt. 18; Jl. Jend. Gatot Subroto Kav. 22; Jakarta 12930;PT. Raya Saham Registra;Pengelola & Pengembang Real Estat;Pengembang & Operator Real Estat;corsec@alam-sutera.com;252 5050;Pengembang dan Pembangunan (Real Estate);ASRI;ALAM SUTERA REALTY Tbk;01.642.819.5.054.000;Utama;Properti & Real Estat;Properti & Real Estat;2007-12-18T00:00:00;252 3838;www.alamsuterarealty.co.id;;;;
Gedung Graha Kirana Lt. 6; Jl. Yos Sudarso No. 88; Sunter; Jakarta Utara 14350 – Indonesia ;;Pengangkutan Darat Penumpang;Transportasi Jalanan;corporate.secretary@assarent.co.id;6530 8822;Bergerak di bidang jasa penyewaan kendaraan bermotor/alat transportasi darat, jual beli kendaraan bekas, jasa pengurusan transportasi/logistik dan jasa penyediaan juru mudi melalui Entitas Anak;ASSA;Adi Sarana Armada Tbk;01.955.213.2-054.000;Pengembangan;Transportasi & Logistik;Transportasi;2012-11-12T00:00:00;6530 8811;www.assarent.co.id;;;;
Graha BIP Lantai 7Jl. Jend. Gatot Subroto Kav. 23 Jakarta;PT. Datindo Entrycom;;;corporate.secretary@anabatic.com;021-5229777;Sistem Integrasi Teknologi Informasi yang terdiri dari solusi sistem integrasi, layanan business process outsourcing, layanan teknologi informasi outsourcing, dan distribusi dan bisnis pendukungnya;ATIC;PT Anabatic Technologies Tbk;;UTAMA;TRADE, SERVICES & INVESTMENT;COMPUTER AND SERVICES;2015-07-08T00:00:00;021-5229909;www.anabatic.com;;;;;;;
Jalan Surabaya – Sidoarjo KM. 19; Kelurahan Wadungasih; Kecamatan Buduran; Sidoarjo 61254; Jawa Timur;PT. Bima Registra;Barang Kimia;Barang Kimia Khusus;corsec@avianbrands.com;;Bergerak di bidang usaha industri dan perdagangan cat dan tinta cetak, pernis, lak, perekat/lem, mortar atau beton siap pakai;AVIA;PT Avia Avian Tbk;01.203.265.2-641.000;Utama;Barang Baku;Barang Baku;2021-12-08T00:00:00;031 - 8968000;www.avianbrands.com;;;
Menara Jamsostek Lantai 6; Jl; Gatot Subroto No. 38;;Bank;Bank;helpdesk.corpsec@bankcapital.co.id;(021)27938900;Perbankan;BACA;PT Bank Capital Indonesia Tbk;01.341.893.4-054.000;Pengembangan;Keuangan;Bank;2007-10-04T00:00:00;(021)27938989;www.bankcapital.co.id;;;;;
Gedung Millennium Centennial Center Lt 7 Jl. Jenderal Sudirman Kav. 25 Jakarta Selatan;12920;PT. Sharestar Indonesia;Bank;Bank;corsec@aladinbank.id;+62 21 3970 8007;Perbankan;BANK;PT Bank Aladin Syariah Tbk;01.657.743.9-058.000;Pengembangan;Keuangan;Bank;2021-02-01T00:00:00;+62 21 3970 8008;www.aladinbank.id;;;;;;
Gedung Tomang Tol Lt. 2; Jl. Arjuna No. 1; Tanjung Duren Selatan; Jakarta 11470 ;PT. Adimitra Jasa Korpora;Pengelola & Pengembang Real Estat;Pengembang & Operator Real Estat;corporatesecretary@bekasiasripemula.co.id;5687232;Real Estate;BAPA;Bekasi Asri Pemula Tbk;01.635.426.8-054.000;Utama;Properti & Real Estat;Properti & Real Estat;2008-01-14T00:00:00;563 6913;;;;;
Jl. R.A. Kartini Kav. 28 Cilandak Barat; Jakarta Selatan 12430;PT. Bima Registra;Pakaian & Barang Mewah;Alas Kaki;id.corporate-secretary@bata.com;(021) 750-5354;Industri Alas Kaki ;BATA;Sepatu Bata Tbk;01.000.075.0-092.000;Utama;Barang Konsumen Non-Primer;Pakaian & Barang Mewah;1982-03-24T00:00:00;(021) 750-5353;www.bata.id;;;;;;
Jl. Ir.H. Juanda III No. 2 Jakarta 10210;PT. EDI Indonesia;Pariwisata & Rekreasi;Agen Perjalanan;office@bayubuanatravel.com;3459535;Biro Perjalanan Wisata ;BAYU;Bayu Buana Tbk;01.365.140.1-054.000;PENGEMBANGAN;Barang Konsumen Non-Primer;Jasa Konsumen;1989-10-30T00:00:00;23509999;http://www.bayubuanatravel.com  dan  http://www.bayubuanagroup.com;;;;;;;
Menara Bank Mega; Lantai 5-6; Jalan Kapten P. Tendean No.12-14A; Jakarta Selatan 12790;PT. Datindo Entrycom;Bank;Bank;corsec@allobank.com;(021) 3841022;;;;;;;;;;;;;;
Gedung Bank KB Bukopin Jl. M.T. Haryono Kav.50-51 Jakarta 12770;;Bank;Bank;investor.relations@kbbukopin.com;;;;;;;;;;;;;;;;;;
"yohanna.octaviani@buanafinance.co.id""";021-50806996;Pembiayaan;BBLD;Buana Finance Tbk;01.363.699.8-054.000;Pengembangan;Keuangan;Jasa Pembiayaan;1990-05-07T00:00:00;021-50806969;www.buanafinance.co.id;;;;;;;;;;;
Jl. H. Zainul Arifin No. 118; Medan;PT. Raya Saham Registra;Bank;Bank;corsec@bankmestika.co.id;061-4527324;Jasa Perbankan;BBMD;PT Bank Mestika Dharma Tbk.;01.100.435.5-123.000;Utama;Keuangan;Bank;2013-07-08T00:00:00;061-4525800;www.bankmestika.com;;;;;;
TCC Batavia Tower One 8th Floor; Suite 08-09 Jalan KH. Mas Mansyur Kav. 126 Jakarta 10220 ;PT. Datindo Entrycom;Batu Bara;Distribusi Batu Bara;corpsec@bbr.co.id ;(021) 295 294 62 ;Pelayaran;BBRM;Pelayaran Nasional Bina Buana Raya Tbk;01.768.600.7-054.000 ;Utama;Energi;Minyak, Gas & Batu Bara;2013-01-09T00:00:00;(021) 295 294 61 ;www.bbr.co.id ;;;;;;
Jl. W.R. Supratman No. 19; Surabaya;PT. Adimitra Jasa Korpora;Pengelola & Pengembang Real Estat;Pengembang & Operator Real Estat;corsec@bumibenowo.com;+62 31 566 2800;Real Estate yang dimiliki sendiri atau disewa;BBSS;PT Bumi Benowo Sukses Sejahtera Tbk;01.441.228.2-613.000;Pengembangan;Properti & Real Estat;Properti & Real Estat;2020-04-15T00:00:00;+62 31 561 2227 / 565 2277;www.bumibenowo.com;;;;;;
Gedung Menara BTN; Jl.Gajah Mada No. 1; Jakarta 10130 ;;Bank;Bank;achmad.chaerul@btn.co.id;-;Bergerak Dalam Bidang Usaha Perbankan;BBTN;PT Bank Tabungan Negara (Persero) Tbk;01.001.609.5-093.000;Utama;Keuangan;Bank;2009-12-17T00:00:00;021-6336789;www.btn.co.id;;;;;
Treasury Tower Lantai 60 Kawasan District 8; Lot 28; SCBD; Jalan Jenderal Sudirman Kav. 52-53 Jakarta 12190 ;PT. Ficomindo Buana Registrar;Bank;Bank;corsec@bankneo.co.id;-;Perbankan;BBYB;PT Bank Neo Commerce Tbk.;01.341.570.8-073.000 ;Utama;Keuangan;Bank;2015-01-13T00:00:00;021-27094950  021-27094951;http://www.bankneocommerce.co.id/;;;;
Gedung Sahid Sudirman Center; Lantai 33; Jl. jend.Sudirman No. 86 Jakarta Pusat 10220;PT. Sharestar Indonesia;Bank;Bank;-; 021 2926 1492 ;Perbankan;BCIC;PT Bank JTrust Indonesia Tbk. ; 01.343.070.7-054.000 ;Pengembangan;Keuangan;Bank;1997-06-25T00:00:00; 021 2926 1111 ; www.jtrustbank.co.id ;;;;;
