alamat,BAE,industri,sub_industri,email,fax,kegiatan_usaha_utama,kode_emiten,nama_emiten,NPWP,papan_pencatatan,sektor,sub_sektor,tanggal_pencatatan,telepon,website;;;;;;
"Jl Pulo Ayang Raya Blok OR No. 1
Kawasan Industri Pulogadung
Jakarta,PT. Raya Saham Registra,Produk Makanan Pertanian,Perkebunan & Tanaman Pangan,Investor@astra-agro.co.id,""461-6655, 461-6677, 461-6688"",Agriculture Plantation,AALI,Astra Agro Lestari Tbk,01.334.427.0-054.000,Utama,Barang Konsumen Primer,Makanan & Minuman,1997-12-09T00:00:00,461-65-55,http://www.astra-agro.co.id";;;;;;
Sahid Sudirman Centre Lt. 10, Jl. Jend. Sudirman No. 86, Jakarta 10220,PT. Adimitra Jasa Korpora,Media,Penerbitan,corsec@mahakax.com,(021) 573 9210,Media dan Percetakan,ABBA,Mahaka Media Tbk,01.609.052.4-054.000,Pengembangan,Barang Konsumen Non-Primer,Media & Hiburan,2002-04-03T00:00:00,(021) 573 9203,www.mahakamedia.com;;;;;;
Plaza Asia Lt. 27 Jl. Jend. Sudirman Kav. 59 Jakarta Selatan ,PT. Raya Saham Registra,Asuransi,Asuransi Umum,contactus@abda.co.id,5140 1698 ,Asuransi Kerugian ,ABDA,Asuransi Bina Dana Arta Tbk,01.362.014.1-054.000 ,Pengembangan,Keuangan,Asuransi,1989-07-06T00:00:00,5140 1688,www.abda.co.id;;;;;;
Gedung TMT 1 Lantai 18 Jl. Cilandak KKO No. 1 Jakarta 12560,PT. Datindo Entrycom,Perusahaan Holding Multi-sektor,Perusahaan Holding Multi-sektor,corporate.secretary@abm-investama.co.id,021-29976768,berupa jasa penyewaan namun tidak terbatas pada alat - alat berat untuk keperluan eksplorasi dan eksploitasi dan dewatering di industri pertambangan ,ABMM,ABM Investama Tbk,02.504.191.4-054.000,Utama,Perindustrian,Perusahaan Holding Multi Sektor,2011-12-06T00:00:00,021-29976767,www.abm-investama.com;;;;;;
"Gedung Kawan Lama Lantai 5. Jl. Puri Kencana No. 1, Kembangan Selatan, Kembangan, Jakarta Barat 11610,PT. EDI Indonesia,Ritel Khusus,Ritel Barang Rumah Tangga,	toto@acehardware.co.id,	021 - 5824022,Perdagangan,ACES,Ace Hardware Indonesia Tbk,	01.721.123.6-054.000,Utama,Barang Konsumen Non-Primer,Perdagangan Ritel,2007-11-06T00:00:00,	021 - 5822222,www.acehardware.co.id";;;;;;
ACSET Building, Jalan Majapahit No.26, Kelurahan Petojo Selatan, Kecamatan Gambir, Jakarta 10160,PT. Sinartama Gunita,Konstruksi Bangunan,Konstruksi Bangunan,corporate.secretary@acset.co,(021) 3441413,Jasa Konstruksi untuk bangunan komersial dan infrastruktur,ACST,PT Acset Indonusa Tbk.,01.709.626.4-054.000,Utama,Infrastruktur,Konstruksi Bangunan,2013-06-24T00:00:00,(021) 3511961,www.acset.co;;;;;;
Wisma GKBI Suite UG-01 Jl. Jend. Sudirman No. 28 Jakarta 10210 Indonesia,PT. Adimitra Jasa Korpora,Bank,Bank,corsec@ibk.co.id,+62 21 5790 6888,Perbankan,AGRS,PT Bank IBK Indonesia Tbk.,01.311.830.2-073.000,Pengembangan,Keuangan,Bank,2014-12-22T00:00:00,+62 21 5790 8888,www.ibk.co.id;;;;;;
"Wisma 46 Kota BNI Lantai 33, Jl. Jend. Sudirman Kav. 1 Karet Tengsin Tanah Abang Jakarta Pusat 10220,PT. Datindo Entrycom,Asuransi,Asuransi Umum,harta@asuransi-harta.co.id,5727589,Asuransi Umum Konvensional,AHAP,Asuransi Harta Aman Pratama Tbk,01.360.902.9-054.000,Pengembangan,Keuangan,Asuransi,1990-09-14T00:00:00,""5702060, 5746789 (hunting)"",www.asuransi-harta.co.id";;;;;;
"Jl. Cipaku 1 No. 3, RT/RW 002/004, Kel. Petogogan Kec. Kebayoran Baru, Jakarta Selatan DKI 12170,PT. Sinartama Gunita,Batu Bara,Produksi Batu Bara,corporate@aims.co.id,(021) 7392909,Perdagangan Umum dan Distribusi,AIMS,Akbar Indomakmur Stimec Tbk,01.820.068.3-054.000,Pengembangan,Energi,""Minyak, Gas & Batu Bara"",2001-07-20T00:00:00,(021) 7221279,https://www.aims.co.id";;;;;;
Menara Astra Lantai 29, Jalan Jend. Sudirman Kav 5-6, Karet Tengsin, Jakarta Pusat 10220,,Makanan Olahan,Makanan Olahan,corporate.secretary@fksfs.co.id,021 - 50889838,Industri Mie,AISA,PT FKS Food Sejahtera Tbk,01.504.513.1-054.000,Utama,Barang Konsumen Primer,Makanan & Minuman,1997-06-11T00:00:00,021 - 50889898,www.fksfs.co.id;;;;;;
"Grand Asia Afrika Residence, Commercial Area A-10, Jl. Karapitan No. 1, Paledang, Lengkong, Bandung, Jawa Barat 40261,PT. Adimitra Jasa Korpora,Pariwisata & Rekreasi,""Hotel, Resor & Kapal Pesiar"",info@kagumgroup.com,022-2035013,Pariwisata,AKKU,PT Anugerah Kagum Karya Utama Tbk,02.038.425.1-054.000,Pengembangan,Barang Konsumen Non-Primer,Jasa Konsumen,2004-11-01T00:00:00,022-2035013,kagumgroup.com";;;;;;
"Gedung Prosperity Tower, Lantai 51, Kawasan District 8, SCBD Lot. 28, Jl. Jend. Sudirman Kav. 52-53, Senayan, Kebayoran Baru, Jakarta Selatan,PT. Raya Saham Registra,Barang Kimia,Barang Kimia Khusus,theo@arghakarya.com,""021-87902024, 8764155"",Plastics and Packaging,AKPI,Argha Karya Prima Ind. Tbk,01.000.863.9-054.000,Pengembangan,Barang Baku,Barang Baku,1992-12-18T00:00:00,021-8572707,http://www.arghakarya.com";;;;;;
"AKR Tower Lt.26, Jl. Panjang No.5 Kebon Jeruk, Jakarta Barat 11530,,Minyak & Gas,Penyimpanan & Distribusi Minyak & Gas,corporate.secretary@akr.co.id,(021) 531 1185,Perdagangan dan Distribusi BBM dan Bahan Kimia Dasar,AKRA,PT AKR Corporindo Tbk.,01.132.905.9-092.000,Utama,Energi,""Minyak, Gas & Batu Bara"",1994-10-03T00:00:00,(021) 531 1110,www.akr.co.id";;;;;;
District 8,Treasury Tower Lantai 52,SCBD Lot 28,Jl.Jenderal Sudirman Kav 52-53,RT08 RW 06,Kel.Senayan,Kec.Kebayoran Baru,Jakarta Selatan 12190,PT. Sharestar Indonesia,Logistik & Pengantaran,Logistik & Pengantaran,agus.amirsyah@mesmineral.co.id,-,Securities Company,AKSI,PT Mineral Sumberdaya Mandiri Tbk,01.349.129-5-054-000,Pengembangan,Transportasi & Logistik,Logistik & Pengantaran,2001-07-13T00:00:00,02150105669,www.mesmineral.co.id;;;;;;
"Kawasan Industri Cimareme, Jl. Cimareme II No. 14, Padalarang, Bandung Barat 40553 ,PT. Sinartama Gunita,Wadah & Kemasan,Wadah & Kemasan,kuswara@alkindo.co.id ,""(022) 603 6489, 600 4508 "",Industri pengolahan kertas serta pemasaran dan penjualan hasil industri baik lokal maupun ekspor,ALDO,Alkindo Naratama Tbk,01.671.242.4-054.000 ,Pengembangan,Barang Baku,Barang Baku,2011-07-12T00:00:00,"" (022) 601 1220, 602 8277 "",www.alkindo.co.id ";;;;;;
"Jalan Pulo Gadung No. 4 
Kawasan Industri Pulogadung
Jakarta 13930 
,PT. Raya Saham Registra,Logam & Mineral,Alumunium,corsec@ai.alakasa.co.id,(021)4603574";" (021)4608856,Investment Company,ALKA,Alakasa Industrindo Tbk,01.000.166.7-054.000,Pengembangan,Barang Baku,Barang Baku,1990-07-12T00:00:00,""(021)460-88-55";;;;;
",0
Gedung Maspion Lt.7,";;;;;;
 Jl. Kembang Jepun 38-40, Surabaya 60162;;;;;;
"Jawa Timur - Indonesia"",PT. Adimitra Jasa Korpora,Logam & Mineral,Alumunium,cs@alumindo.com,""+62-31-3533055, 3533218"",Metal and Alied Products,ALMI,Alumindo Light Metal Industry Tbk,01.122.572.9-092.000,Pengembangan,Barang Baku,Barang Baku,1997-01-02T00:00:00,""+62-31-3531445, 3541040"",www.alumindo.com";;;;;;
"Kp. Pasir Dalem RT.002 RW.002 Desa Babakan pari, Kecamatan Cidahu Kabupaten Sukabumi, Jawa Barat 43158 ,PT. Adimitra Jasa Korpora,Minuman,Minuman Ringan,corsec@ALTOspringswater.com ,(0266) 731 319 dan (021) 5301 620 ,""Bergerak dalam bidang usaha makanan, minuman dan air mineral."",ALTO,Tri Banyan Tirta Tbk,01.761.303.5-054.000,Utama,Barang Konsumen Primer,Makanan & Minuman,2012-07-10T00:00:00,(0266) 735 813 dan (021) 5300 689,www.ALTOspringswater.com ";;;;;;
The City Center Batavia Tower One Lantai 17 Jalan KH Mas Mansyur Kav. 126 Jakarta Pusat 10220,PT. Raya Saham Registra,Asuransi,Asuransi Umum,israeni@mag.co.id,(021) 7250223,Asuransi Kerugian ,AMAG,Asuransi Multi Artha Guna Tbk,01.108.165.0-054.000,Pengembangan,Keuangan,Asuransi,2005-12-23T00:00:00,(021) 2700590,www.mag.co.id;;;;;;
APL Tower Unit OT/35/T5 Podomoro City, Jl. S. Parman Kav. 28, Tanjung Duren Selatan, Grogol Petamburan, Jakarta Barat 11470, Indonesia,PT. Bima Registra,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,info@mbagroup.id,(62-21) 2119 1008,Pembangunan kawasan industri dan jasa kawasan industri serta investasi pada Entitas Anak yang bergerak di bidang perhotelan,AMAN,PT Makmur Berkah Amanda Tbk.,02.480.197.9-617.001,Utama,Properti & Real Estat,Properti & Real Estat,2020-03-13T00:00:00,(62-21) 2119 2888,mbagroup.id;;;;;;
Jl. Basuki Rahmad No. 109, Surabaya, 60271,PT. Datindo Entrycom,Bank,Bank,corsec@amarbank.co.id,(031) 9901595,Perbankan Umum Swasta,AMAR,PT Bank Amar Indonesia Tbk.,01.526.905.3-619.000,Pengembangan,Keuangan,Bank,2020-01-09T00:00:00,(031) 99015959,www.amarbank.co.id;;;;;;
"Jl. Ancol IX/5, Ancol Barat, Ancol-Pademangan Jakarta Utara-DKI Jakarta Raya 14430,PT. Datindo Entrycom,Produk & Perlengkapan Bangunan,Produk & Perlengkapan Bangunan,adimulya.sukmana@agc.com,""021-6919245, 6918820"",""Ceramics, Glass, Porcelain "",AMFG,Asahimas Flat Glass Tbk,01.000.161.8-092.000,Utama,Perindustrian,Barang Perindustrian,1995-11-08T00:00:00,(021) 6904041 ext 1042,www.amfg.co.id";;;;;;
"Jalan Sei Belumai Km. 2,4 No. 30-38
Desa Dagang Kelambir - Tanjung Marowa
Deli Serdang - Sumatera Utara,PT. Adimitra Jasa Korpora,Mesin,Mesin & Komponen Perindustrian,corsec@atmindo.co.id,(061) 794 7755,Bidang Industri Manufaktur dan Perakitan Mesin Industri,AMIN,PT Ateliers Mecaniques D Indonesie Tbk.,01.001.807.5-055.000,Pengembangan,Perindustrian,Barang Perindustrian,2015-12-10T00:00:00,(061) 794 7751,www.atmindoboiler.com";;;;;;
"Generali Tower Grand Rubina Business Park Lt.20 C
Jl. H.R. Rasuna Said, Kuningan, Jakarta Selatan 12940,PT. Adimitra Jasa Korpora,Produk Makanan Pertanian,""Ikan, Daging & Produk Unggas"",corsec@agungmm.com,021-29023180,Menjalankan usaha dalam bidang jasa sarana produksi budidaya ikan air payau dan jasa pasca panen budidaya ikan air payau,AMMS,PT Agung Menjangan Mas Tbk,02.604.240-8-018.000,Akselerasi,Barang Konsumen Primer,Makanan & Minuman,2022-08-04T00:00:00,(021)-29023178,www.agungmm.com";;;;;;
"Pacific Century Place, Lantai 18 SCBD Lot 10, Jl. Jendral Sudirman Kav 52-53
Jakarta 12190,PT. Datindo Entrycom,Jasa Investasi,Manajemen Investasi,cosec.indonesia@ashmoregroup.com,(021) 2953 9001,""jasa perusahaan efek, yaitu jasa manajer investasi, dan jasa penasihat investasi"",AMOR,PT Ashmore Asset Management Indonesia Tbk.,0,Pengembangan,Keuangan,Jasa Investasi,2020-01-14T00:00:00,(021) 2953 9000,www.ashmoregroup.com";;;;;;
Jl. Jalur Sutera Barat Kav. 9, Alam Sutera, Kota Tangerang, Prov. Banten,,Perdagangan Ritel Barang Primer,Supermarket,corsec@sat.co.id / investor_relations@sat.co.id,021-80821556,Retail Trade ,AMRT,PT Sumber Alfaria Trijaya Tbk.,01.336.238.9-054.000,Utama,Barang Konsumen Primer,Perdagangan Ritel Barang Primer,2009-01-15T00:00:00,021-80821555,www.alfamart.co.id;;;;;;
"Meta Epsi Building
Jl. Mayjen D.I. Panjaitan Kav. 2, Jakarta Timur 13350, Indonesia,PT. Datindo Entrycom,Produk Makanan Pertanian,Perkebunan & Tanaman Pangan,corpsec@andiraagro.com,0218564956,""Perkebunan, Pertanian, dan Agroindustri"",ANDI,PT Andira Agro Tbk,01.683.553.0-072.000,Pengembangan,Barang Konsumen Primer,Makanan & Minuman,2018-08-16T00:00:00,0218564955,www.andiraagro.com";;;;;;
"Menara BTPN Lantai 40 Jalan Dr. Ide Anak Agung Gde Agung Kav. 5.5 - 5.6 Kawasan Mega Kuningan ,PT. Datindo Entrycom,Produk Makanan Pertanian,Perkebunan & Tanaman Pangan,corsec@anj-group.com ,(62-21) 2965 1788 ,""Perdagangan, jasa dan pengoperasian perkebunan, pengolahan dan perdagangan produk kelapa sawit baik sendiri maupun melalui Entitas Anak, pengolahan dan perdagangan produk sagu serta produksi dan penggunaan energi terbarukan dan kelistrikan melalui Entitas Anak."",ANJT,PT Austindo Nusantara Jaya Tbk.,01.626.081.2-054.000 ,Utama,Barang Konsumen Primer,Makanan & Minuman,2013-05-08T00:00:00,(62-21) 2965 1777 ,www.anj-group.com ";;;;;;
"Gedung. Aneka Tambang 
Jl. Letjen TB. Simatupang No. 1 
Jakarta 12530
,PT. Datindo Entrycom,Logam & Mineral,Logam & Mineral Lainnya,corsec@antam.com,021-7812822,Metal and Mineral Mining ,ANTM,Aneka Tambang Tbk.,01.001.663.2-051.000,Utama,Barang Baku,Barang Baku,1997-11-27T00:00:00,""021-7805119"; 021-7891234 ; 021-7812635 ;;;;
",http://www.antam.com/
Office 8 Building, 20th - 21st floor, SCBD Lot. 28, Jl. Jend. Sudirman Kav. 52-53, Jakarta 12190"",PT. Adimitra Jasa Korpora,""Pendukung Minyak, Gas & Batu Bara"",Jasa Pengeboran Minyak & Gas,info@apexindo.coom,(021) 29333111,""Bergerak di bidang pengeboran minyak, gas dan panas bumi"",APEX,Apexindo Pratama Duta Tbk,01.374.289.5-054.000,Pengembangan,Energi,""Minyak, Gas & Batu Bara"",2013-06-05T00:00:00,(021) 29333000,http://www.apexindo.com";;;;;;
"Menara Jamsostek, Gedung Menara Utara Lt. 12A
Jl. Jend. Gatot Subroto No. 38 Jakarta Selatan 12710,PT. Sinartama Gunita,Perusahaan Holding & Investasi,Perusahaan Holding Keuangan,corpsec@apic.co.id, 021-39502901,Investment Company,APIC,PACIFIC STRATEGIC FINANCIAL Tbk,01.341.811.6-054.000,Pengembangan,Keuangan,Perusahaan Holding & Investasi,2002-12-18T00:00:00, 021-39502900,www.apic.co.id";;;;;;
"Jl. Danau Sunter Utara Blok C No. 9 Sunter Agung, Tanjung Priuk
Jakarta 14350,PT. Bima Registra,Mesin,Mesin & Komponen Perindustrian,corsec@aritaglobal.co.id,(62-21) 6516107,""Perdagangan ekspor dan impor barang-barang logam yang mencakupvalve, fitting dan produk terkait lainnya"",APII,PT Arita Prima Indonesia Tbk.,02.005.399.7-059.000,Pengembangan,Perindustrian,Barang Perindustrian,2013-10-29T00:00:00,(62-21) 6519188,www.arita.co.id";;;;;;
Jl.KH.EZ.Muttaqien No.94 RT.004/RW.002 Kelurahan Gembor Kecamatan Periuk Kota Tangerang 151333,PT. Adimitra Jasa Korpora,Barang Kimia,Barang Kimia Khusus,sec@asiaplast.co.id,021-5901464,Plastics and Packaging,APLI,Asiaplast Industries Tbk,01.564.831.4-054.000,Utama,Barang Baku,Barang Baku,2000-05-01T00:00:00,021-5901465,-;;;;;;
"Podomoro City - APL Tower, Lt. 45
Jl. Letjen. S. Parman Kav. 28
Jakarta 11470,,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,APLN.SP@agungpodomoroland.com,021-29034556,""Pengembangan, pengelolaan dan penyewaan properti terpadu yang meliputi apartemen, perumahan, perhotelan, perkantoran, pertokoan, pusat perbelanjaan dan pusat rekreasi beserta fasilitasnya melalui Perseroan maupun Entitas Anak Perseroan"",APLN,PT Agung Podomoro Land Tbk.,02.380.812.4-054.000,Utama,Properti & Real Estat,Properti & Real Estat,2010-11-11T00:00:00,021-29034567,www.agungpodomoroland.com";;;;;;
"Menara Rajawali, Lantai 19
Jl. DR Ide Anak Agung Gde Agung Lot #5.1
Kawasan Mega Kuningan
Jakarta Selatan 12950, Indonesia,PT. Datindo Entrycom,Logam & Mineral,Emas,corsec@archimining.com,+62 21 576 1720,""Perusahaan holding di bidang pertambangan mineral (antara lain, emas dan perak)"",ARCI,PT Archi Indonesia Tbk,03.088.742.6-063.000,Utama,Barang Baku,Barang Baku,2021-06-28T00:00:00,+62 21 576 1719,www.archiindonesia.com";;;;;;
Wisma Argo Manunggal, Jl. Jend. Gatot Subroto Kav. 22 Jakarta Selatan,PT. EDI Indonesia,Pakaian & Barang Mewah,Tekstil,corp-secretary@argopantes.com,(021) 2520029,Industri Pakaian Jadi dan Tekstil,ARGO,Argo Pantes Tbk,01.001.018.9-092.000,Pengembangan,Barang Konsumen Non-Primer,Pakaian & Barang Mewah,1991-01-07T00:00:00,(021) 2520065-(021) 2520068,argo.co.id;;;;;;
"Sampoerna Strategic Square - South Tower Level 18
Jl Jend Sudirman Kav. 45-46
Jakarta Selatan 12930 - Indonesia,PT. Datindo Entrycom,Batu Bara,Produksi Batu Bara,corsec@atlas-coal.co.id,021-71792708,Perdagangan dan Pertambangan,ARII,Atlas Resources Tbk,02.671.807.2-063.000,Pengembangan,Energi,""Minyak, Gas & Batu Bara"",2011-11-08T00:00:00,021-7193343,www.atlas-coal.co.id";;;;;;
"Jl. Lanbau No. 8, Kp Gudang RT 06 / RW 09, Kel. Karang Asem Barat, Kec. Citeureup, Kab. Bogor, Jawa Barat,,PT. Adimitra Jasa Korpora,Mesin,Mesin & Komponen Perindustrian,corporate.secretary@arkhajayanti.co.id,Fax : 021-87916364,""Menjalankan usaha dalam bidang industri manufaktur dan fabrikasi komponen alat-alat berat, karoseri body dump truck, kontruksi baja, fabrikasi Oil & Gas equipment dan jasa pengangkutan batubara."",ARKA,PT Arkha Jayanti Persada Tbk.,01.910.633.5-431.000,Pengembangan,Perindustrian,Barang Perindustrian,2019-07-10T00:00:00,021 - 87918903,www.arkhajayanti.co.id";;;;;;
"Office 8 Building, Lantai 21 Unit C & D
Jl. Jend. Sudirman Kav. 52-53, Lot 28 SCBD, Jakarta 12190,PT. Adimitra Jasa Korpora,Utilitas Listrik,Utilitas Listrik,corporate.secretary@arkora.com,+62 21-29333-298,Pembangkitan tenaga listrik melalui sumber energi baru dan terbarukan yang berasal dari aliran air (Pembangkit Listrik Tenaga Air),ARKO,PT Arkora Hydro Tbk.,03.047.096.7-012.000,Pengembangan,Infrastruktur,Utilitas,2022-07-08T00:00:00,+62 21-29333-288"; 021-29333-299,www.arkora-hydro.com;;;;;
"Mayapada Tower Lantai 21
Jl. Jend. Sudirman Kav. 28
Jakarta
,PT. Ficomindo Buana Registrar,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,yudi@armidian.co.id,0215213412,""Bidang pembangunan, jasa dan perdagangan"",ARMY,PT Armidian Karyatama Tbk,01.680.752.1-419.000,Pengembangan,Properti & Real Estat,Properti & Real Estat,2017-06-21T00:00:00,0215226810,www.armidian.co.id";;;;;;
"Sentra Niaga Puri Indah Blok T2 No. 6 & 7
Kembangan Selatan
Jakarta 11610,PT. Adimitra Jasa Korpora,Produk & Perlengkapan Bangunan,Produk & Perlengkapan Bangunan,corsec@arwanacitra.com,(021) 58302361,Bahan Bangunan Keramik,ARNA,Arwana Citramulia Tbk,01.609.796.6-054.000,UTAMA,Perindustrian,Barang Perindustrian,2001-07-17T00:00:00,(021) 58302363,0";;;;;;
